"title","author","genre","rating","img","numRater","type","price"
"The Broken Circle","Enjeela Ahmadi-Miller","History","4.5","https://images-na.ssl-images-amazon.com/images/I/91DzgssLBzL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","214","Kindle Edition","4.99"
"The Threat","Andrew G. McCabe","History","4.7","https://images-na.ssl-images-amazon.com/images/I/81daKLuXheL._AC_UL200_SR200,200_.jpg","128","Audible Audiobook"," Free with Audible trial"
"The Threat","Andrew G. McCabe","History","4.7","https://images-na.ssl-images-amazon.com/images/I/81wwJtMLCqL._AC_UL200_SR200,200_.jpg","128","Hardcover","17.99"
"The Threat","Andrew G. McCabe","History","4.7","https://images-na.ssl-images-amazon.com/images/I/81wwJtMLCqL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","128","Kindle Edition","14.99"
"Sapiens","Yuval Noah Harari","History","4.5","https://images-na.ssl-images-amazon.com/images/I/81tPEe0egBL._AC_UL200_SR200,200_.jpg","5603","Audible Audiobook"," Free with Audible trial"
"Extreme Ownership","Jocko Willink","History","4.8","https://images-na.ssl-images-amazon.com/images/I/81zCJh6xsQL._AC_UL200_SR200,200_.jpg","2585","Audible Audiobook"," Free with Audible trial"
"The Winter Fortress","Neal Bascomb","History","4.6","https://images-na.ssl-images-amazon.com/images/I/91Hfp9s1A3L._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","567","Kindle Edition","9.99"
"Born Survivors","Wendy Holden","History","4.8","https://images-na.ssl-images-amazon.com/images/I/81zqOrCfkbL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1337","Kindle Edition","11.99"
"Man's Search for Meaning","Viktor E. Frankl","History","4.7","https://images-na.ssl-images-amazon.com/images/I/71OLtGMB0PL._AC_UL200_SR200,200_.jpg","4525","Paperback","7.36"
"Bury My Heart at Wounded Knee","Dee Brown","History","4.7","https://images-na.ssl-images-amazon.com/images/I/91SOkR8zoaL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1225","Kindle Edition","9.99"
"Five Presidents","Clint Hill","History","4.6","https://images-na.ssl-images-amazon.com/images/I/81XDguZCJgL._AC_UL200_SR200,200_.jpg","700","Paperback","10.96"
"The Negro Motorist Green-Book","Victor H. Green","History","4.7","https://images-na.ssl-images-amazon.com/images/I/516SpHCQjPL._AC_UL200_SR200,200_.jpg","148","Paperback","6.64"
"Sapiens","Yuval Noah Harari","History","4.5","https://images-na.ssl-images-amazon.com/images/I/71N3-FFSDxL._AC_UL200_SR200,200_.jpg","5603","Paperback","15.46"
"Victoria's Daughters","Jerrold M. Packard","History","4.2","https://images-na.ssl-images-amazon.com/images/I/61XwlLvoCKL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","207","Kindle Edition","1.99"
"Say Nothing","Patrick Radden Keefe","History","4.6","https://images-na.ssl-images-amazon.com/images/I/A1GGRJkhHrL._AC_UL200_SR200,200_.jpg","6","Hardcover","17.41"
"What Would Mrs. Astor Do?","Cecelia Tichi","History","3.8","https://images-na.ssl-images-amazon.com/images/I/A1d-0Pn9CHL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","11","Kindle Edition","0.83"
"Extreme Ownership","Jocko Willink","History","4.8","https://images-na.ssl-images-amazon.com/images/I/81yh8hnG99L._AC_UL200_SR200,200_.jpg","2585","Hardcover","15.35"
"The Library Book","Susan Orlean","History","4.2","https://images-na.ssl-images-amazon.com/images/I/91OME-jyFmL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","459","Kindle Edition","14.99"
